gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	CHR	POS							
ENSG00000214530	STARD10	7.274393512	0.044031173	3.48E-13	0.078447917	0.26531973	1.13E-46	2.02E-45	16	17	17	11	72465774							
ENSG00000235321	AC007556.1	7.228543833	0.068295415	4.88E-13	0.033379906	0.085030082	1.34E-14	6.85E-14	5	6	6	2	169957253							
ENSG00000011485	PPP5C	-7.200254753	-0.037068244	6.01E-13	0.103605239	0.457011616	1.20E-90	8.12E-89	9	11	11	19	46850251							
ENSG00000164078	MST1R	-7.161585614	-0.09076165	7.97E-13	0.01684339	0.034185412	1.45E-06	4.50E-06	10	10	10	3	49924435							
ENSG00000129933	MAU2	-7.107244272	-0.062765518	1.18E-12	0.036802105	0.075391316	4.71E-13	2.22E-12	14	16	16	19	19431490							
ENSG00000237609	AF064858.2	7.085298692	0.056340039	1.39E-12	0.047131307	0.080170934	8.10E-14	3.96E-13	16	17	17	21	40400461							
ENSG00000255310	AF131215.5	7.03340483	0.057753317	2.02E-12	0.042045322	0.074437973	6.69E-13	3.12E-12	11	11	11	8	10965298							
ENSG00000269918	AF131215.6	7.00833421	0.047880123	2.41E-12	0.061453416	0.100334076	4.43E-17	2.58E-16	16	16	16	8	10962201							
ENSG00000125753	VASP	-7.00477683	-0.104918676	2.47E-12	0.014520932	0.011450699	0.005560623	0.012184913	25	27	27	19	46009837							
ENSG00000114054	PCCB	-7.003930588	-0.066967882	2.49E-12	0.032064407	0.052245859	2.17E-09	8.25E-09	14	14	14	3	135969148							
ENSG00000175489	LRRC25	-6.991947507	-0.032277428	2.71E-12	0.141052256	0.225548542	5.43E-39	7.63E-38	9	9	9	19	18501954							
ENSG00000196683	TOMM7	6.991839396	0.027317837	2.71E-12	0.208998134	0.309267546	1.18E-55	2.85E-54	10	11	11	7	22852247							
ENSG00000176422	SPRYD4	-6.980886066	-0.027291067	2.93E-12	0.183243846	0.23696799	3.71E-41	5.63E-40	18	18	18	12	56862351							
ENSG00000172037	LAMB2	-6.905455512	-0.113243173	5.00E-12	0.010174055	0.013971766	0.002179427	0.005032992	10	11	11	3	49158547							
ENSG00000204531	POU5F1	6.771330832	0.031757496	1.28E-11	0.138048746	0.196577871	1.23E-33	1.43E-32	41	44	44	6	31132114							
ENSG00000213672	NCKIPSD	6.707519994	0.035979176	1.98E-11	0.101775357	0.13245796	2.06E-22	1.54E-21	11	11	11	3	48711277							
ENSG00000189339	SLC35E2B	6.685699782	0.017401781	2.30E-11	0.416299171	0.532131519	2.80E-112	3.48E-110	24	27	27	1	1590990							
ENSG00000272030	AL162258.2	6.633205426	0.031226277	3.28E-11	0.127264559	0.18661927	7.75E-32	8.42E-31	12	12	12	1	153603914							
ENSG00000154328	NEIL2	6.601572999	0.035083959	4.07E-11	0.101166596	0.141601191	5.78E-24	4.63E-23	30	32	32	8	11627148							
ENSG00000157322	CLEC18A	-6.544948921	-0.016456163	5.95E-11	0.454744547	0.597911471	2.78E-134	6.81E-132	36	39	39	16	69984608							
ENSG00000175115	PACS1	-6.510750543	-0.080689533	7.48E-11	0.022114782	0.075869476	3.95E-13	1.87E-12	7	9	9	11	65837834							
ENSG00000236525	AC007278.2	-6.500412188	-0.052382744	8.01E-11	0.04799428	0.137791429	2.57E-23	1.99E-22	8	9	9	2	103050417							
ENSG00000025434	NR1H3	6.491423608	0.064961597	8.50E-11	0.028656898	0.034218168	1.43E-06	4.45E-06	20	21	21	11	47269851							
ENSG00000158517	NCF1	-6.444072298	-0.091291276	1.16E-10	0.015645225	0.019480873	0.000290321	0.000739669	9	11	11	7	74188309							
ENSG00000170468	RIOX1	6.427885873	0.086041844	1.29E-10	0.015282189	0.027426739	1.64E-05	4.70E-05	17	20	20	14	73957669							
ENSG00000196502	SULT1A1	-6.407101337	-0.031718747	1.48E-10	0.121936507	0.312726634	2.20E-56	5.42E-55	32	36	36	16	28616517							
ENSG00000213689	TREX1	-6.38937062	-0.048303479	1.67E-10	0.047739681	0.12617647	2.34E-21	1.67E-20	26	27	27	3	48507210							
ENSG00000125510	OPRL1	6.361988503	0.03319333	1.99E-10	0.103806012	0.182526295	4.19E-31	4.40E-30	4	4	4	20	62711526							
ENSG00000174564	IL20RB	-6.357205575	-0.129975765	2.05E-10	0.00683238	0.01705574	0.000702384	0.001712667	3	4	4	3	136665072							
ENSG00000172247	C1QTNF4	-6.346578112	-0.032549498	2.20E-10	0.100036265	0.149928465	2.17E-25	1.84E-24	7	7	7	11	47611216							
ENSG00000149177	PTPRJ	-6.337022672	-0.061982965	2.34E-10	0.03098608	0.060169437	1.23E-10	5.06E-10	5	6	6	11	48002110							
ENSG00000165689	ENTR1	-6.328395612	-0.031417567	2.48E-10	0.123143136	0.137162663	3.29E-23	2.54E-22	34	45	45	NA	NA							
ENSG00000065060	UHRF1BP1	6.328374289	0.022489726	2.48E-10	0.244992701	0.38623994	7.70E-73	3.08E-71	35	38	38	6	34759792							
ENSG00000102882	MAPK3	-6.323844065	-0.025373909	2.55E-10	0.190533871	0.258434829	2.58E-45	4.43E-44	12	12	12	16	30125426							
ENSG00000073008	PVR	6.272070885	0.053911449	3.56E-10	0.0397401	0.088344181	3.92E-15	2.06E-14	13	14	14	19	45147098							
ENSG00000148396	SEC16A	-6.268942301	-0.021753628	3.64E-10	0.237325387	0.342493576	7.93E-63	2.36E-61	12	15	15	9	139334548							
ENSG00000082641	NFE2L1	6.266996459	0.065314549	3.68E-10	0.026919578	0.015139454	0.001417509	0.003347867	25	26	26	17	46125691							
ENSG00000177535	OR2B11	-6.236385929	-0.077637598	4.48E-10	0.021793847	0.025966817	2.78E-05	7.79E-05	20	21	21	1	247612420							
ENSG00000248333	CDK11B	6.236171058	0.040319033	4.48E-10	0.082391539	0.154016883	4.27E-26	3.73E-25	16	16	16	1	1570603							
ENSG00000273486	AC096992.2	6.155452282	0.069554647	7.49E-10	0.022736363	0.021711549	0.000129289	0.000341524	18	19	19	3	136556180							
ENSG00000152409	JMY	-6.13015067	-0.059721214	8.78E-10	0.028818264	0.067029493	1.01E-11	4.40E-11	5	5	5	5	78532012							
ENSG00000178252	WDR6	-6.122395717	-0.016928623	9.22E-10	0.371107246	0.382431527	6.11E-72	2.39E-70	36	36	36	3	49044495							
ENSG00000100994	PYGB	6.079865122	0.016200313	1.20E-09	0.41003906	0.483547262	6.29E-98	5.42E-96	25	25	25	20	25228705							
ENSG00000077585	GPR137B	6.058407321	0.036541424	1.37E-09	0.078648485	0.107230316	3.28E-18	2.03E-17	26	27	27	1	236305805							
ENSG00000213722	DDAH2	-6.050779577	-0.09216613	1.44E-09	0.010670499	0.025128675	3.76E-05	0.000104237	13	16	16	6	31694815							
ENSG00000221988	PPT2	-6.046576865	-0.125739349	1.48E-09	0.006600711	0.010388772	0.008285122	0.017771301	9	11	11	6	32121218							
ENSG00000224389	C4B	-6.036935123	-0.021088791	1.57E-09	0.167029121	0.194534756	2.90E-33	3.30E-32	41	43	43	6	31982539							
ENSG00000204304	PBX2	6.015694936	0.067004032	1.79E-09	0.021674188	0.052217928	2.19E-09	8.33E-09	13	15	15	6	32152518							
ENSG00000134571	MYBPC3	-5.999945623	-0.022975461	1.97E-09	0.170219509	0.200784195	2.11E-34	2.54E-33	38	47	47	11	47352948							
ENSG00000198563	DDX39B	-5.993257037	-0.02315563	2.06E-09	0.174691449	0.270095953	1.27E-47	2.35E-46	15	15	15	6	31497996							
ENSG00000133794	ARNTL	-5.988336792	-0.027796499	2.12E-09	0.141860939	0.178584881	2.11E-30	2.16E-29	38	40	40	11	13298199							
ENSG00000197530	MIB2	-5.976160044	-0.055356846	2.28E-09	0.034576106	0.055419874	6.87E-10	2.71E-09	15	15	15	1	1550795							
ENSG00000011295	TTC19	5.963931209	0.03319879	2.46E-09	0.096001416	0.159808062	4.23E-27	3.82E-26	9	11	11	17	15902694							
ENSG00000233232	NPIPB7	-5.944556168	-0.038093726	2.77E-09	0.07029795	0.118159192	5.11E-20	3.43E-19	17	20	20	16	28467693							
ENSG00000204525	HLA-C	-5.935295442	-0.0161878	2.93E-09	0.37938556	0.535458191	2.57E-113	3.35E-111	45	49	49	6	31236526							
ENSG00000138074	SLC5A6	5.880622349	0.043759339	4.09E-09	0.052733531	0.090604	1.69E-15	9.04E-15	8	8	8	2	27422455							
ENSG00000204528	PSORS1C3	5.870619461	0.021056546	4.34E-09	0.234463215	0.349166163	2.60E-64	8.11E-63	37	41	41	6	31141512							
ENSG00000140455	USP3	-5.867708814	-0.040000753	4.42E-09	0.06194903	0.103109244	1.56E-17	9.28E-17	19	19	19	15	63796710							
ENSG00000206573	THUMPD3-AS1	-5.861135049	-0.030401093	4.60E-09	0.111630001	0.198206321	6.24E-34	7.30E-33	6	6	6	3	9391373							
ENSG00000110079	MS4A4A	5.841533257	0.056177413	5.17E-09	0.030544323	0.031932798	3.25E-06	9.82E-06	21	21	21	11	60048014							
ENSG00000197457	STMN3	5.777905291	0.037757188	7.56E-09	0.066997542	0.122721727	8.88E-21	6.19E-20	15	17	17	20	62271058							
ENSG00000197165	SULT1A2	5.771675568	0.015788002	7.85E-09	0.380887822	0.561165531	1.39E-121	2.29E-119	15	16	16	16	28603264							
ENSG00000164053	ATRIP	-5.748218274	-0.033189067	9.02E-09	0.08192337	0.064031556	3.01E-11	1.28E-10	26	28	28	3	48488114							
ENSG00000232442	MHENCR	5.746931088	0.078911237	9.09E-09	0.015586775	0.044860822	3.11E-08	1.09E-07	4	4	4	20	62258580							
ENSG00000223534	HLA-DQB1-AS1	-5.715871266	-0.018239202	1.09E-08	0.27793648	0.373791303	6.40E-70	2.36E-68	30	31	31	6	32627657							
ENSG00000134222	PSRC1	5.709640169	0.043424796	1.13E-08	0.048535674	0.08675728	7.07E-15	3.66E-14	12	12	12	1	109822178							
ENSG00000274414	AL121772.1	-5.707649577	-0.098888527	1.15E-08	0.009612009	0.011786712	0.004904358	0.010828484	6	6	6	20	25219643							
ENSG00000168488	ATXN2L	-5.690285439	-0.0657497	1.27E-08	0.021955391	0.043226378	5.60E-08	1.93E-07	16	17	17	16	28834356							
ENSG00000189223	PAX8-AS1	5.655600457	0.014961431	1.55E-08	0.415472315	0.493406112	9.97E-101	9.14E-99	37	38	38	2	113969099							
ENSG00000158966	CACHD1	5.639628804	0.067423246	1.70E-08	0.019926059	0.04095559	1.27E-07	4.28E-07	17	18	18	1	64936475							
ENSG00000169682	SPNS1	5.636424704	0.019430622	1.74E-08	0.238606205	0.291945453	4.76E-52	1.03E-50	26	27	27	16	28985542							
ENSG00000245888	NSMCE1-DT	-5.634283209	-0.114541513	1.76E-08	0.007270882	0.010724694	0.007300911	0.015762724	13	13	13	NA	NA							
ENSG00000232629	HLA-DQB2	5.584339867	0.015976531	2.35E-08	0.333197897	0.665272264	6.68E-161	4.77E-158	43	49	49	6	32723875							
ENSG00000105953	OGDH	-5.579326115	-0.160183171	2.41E-08	0.00344883	0.012664292	0.003537034	0.007947667	7	8	8	7	44646171							
ENSG00000178952	TUFM	5.577174994	0.016024855	2.44E-08	0.368036415	0.581083335	2.50E-128	4.98E-126	27	32	32	16	28853732							
ENSG00000181666	ZNF875	-5.572415231	-0.038087919	2.51E-08	0.058902098	0.100519983	4.13E-17	2.41E-16	4	4	4	NA	NA							
ENSG00000253736	AC022217.3	-5.570638149	-0.064348999	2.54E-08	0.025453975	0.056995764	3.88E-10	1.55E-09	5	5	5	5	172189983							
ENSG00000204209	DAXX	-5.567823285	-0.049539496	2.58E-08	0.035708516	0.064106346	2.93E-11	1.25E-10	10	10	10	6	33286335							
ENSG00000104936	DMPK	5.560603391	0.106712901	2.69E-08	0.008457587	0.046829434	1.53E-08	5.47E-08	24	25	25	19	46272975							
ENSG00000189114	BLOC1S3	-5.55927521	-0.088728029	2.71E-08	0.010641338	0.014171776	0.002024331	0.004691251	10	10	10	19	45682003							
ENSG00000067208	EVI5	5.549349923	0.072428057	2.87E-08	0.016829656	0.048650879	7.93E-09	2.89E-08	19	21	21	1	92974253							
ENSG00000196236	XPNPEP3	5.540452638	0.037286819	3.02E-08	0.064218043	0.087246647	5.90E-15	3.07E-14	12	13	13	22	41253081							
ENSG00000184110	EIF3C	5.53378718	0.068901028	3.13E-08	0.018602292	0.030302588	5.84E-06	1.73E-05	11	11	11	16	28699879							
ENSG00000169231	THBS3	-5.487252577	-0.018608447	4.08E-08	0.244950031	0.361208182	5.00E-67	1.69E-65	9	9	9	1	155165379							
ENSG00000151640	DPYSL4	5.478348787	0.01738483	4.29E-08	0.273834492	0.365355306	5.65E-68	1.95E-66	27	27	27	10	134000404							
ENSG00000188612	SUMO2	5.448795554	0.091627714	5.07E-08	0.011135222	0.02347745	6.83E-05	0.00018508	8	8	8	17	73161681							
ENSG00000141027	NCOR1	-5.446803301	-0.028561031	5.13E-08	0.107427127	0.163729079	8.77E-28	8.11E-27	19	23	23	17	15932471							
ENSG00000178467	P4HTM	5.445002806	0.090679562	5.18E-08	0.010828889	0.035585004	8.75E-07	2.77E-06	5	6	6	3	49027319							
ENSG00000204301	NOTCH4	5.438339922	0.020932777	5.38E-08	0.218574043	0.525331398	3.49E-110	4.07E-108	28	34	34	6	32162620							
ENSG00000107968	MAP3K8	5.434077169	0.063327972	5.51E-08	0.017940439	0.026527059	2.27E-05	6.40E-05	10	11	11	10	30722866							
ENSG00000221838	AP4M1	-5.43376425	-0.024230184	5.52E-08	0.149418198	0.205354207	3.08E-35	3.79E-34	12	12	12	7	99699172							
ENSG00000089041	P2RX7	-5.413532143	-0.034118957	6.18E-08	0.066728876	0.078787989	1.35E-13	6.53E-13	39	40	40	12	121570622							
ENSG00000167074	TEF	5.412318403	0.025999976	6.22E-08	0.124595596	0.173402013	1.75E-29	1.72E-28	20	21	21	22	41763337							
ENSG00000272391	POM121C	-5.370438927	-0.080167847	7.85E-08	0.011237732	0.129486719	6.52E-22	4.75E-21	17	22	22	7	75046066							
ENSG00000215440	NPEPL1	5.369971819	0.051433731	7.87E-08	0.033849956	0.071933661	1.68E-12	7.62E-12	14	14	14	20	57264187							
ENSG00000272506	AL357078.2	-5.361536655	-0.047933871	8.25E-08	0.038398905	0.038656149	2.90E-07	9.51E-07	36	40	40	1	65543096							
ENSG00000255038	AP006287.2	-5.361253127	-0.116369658	8.26E-08	0.006103849	0.010607402	0.007630239	0.016434436	8	9	9	11	65834748							
ENSG00000133574	GIMAP4	-5.34769616	-0.04276821	8.91E-08	0.045296252	0.095179728	3.06E-16	1.71E-15	19	20	20	7	150264365							
ENSG00000106258	CYP3A5	-5.347008426	-0.074994657	8.94E-08	0.015571387	0.01733327	0.000634675	0.001557088	9	10	10	7	99245817							
ENSG00000268810	AC007193.1	-5.337154209	-0.106237494	9.44E-08	0.006708019	0.05164621	2.69E-09	1.02E-08	5	6	6	19	46885749							
ENSG00000205903	ZNF316	-5.330782856	-0.026298606	9.78E-08	0.114114913	0.16942911	8.78E-29	8.41E-28	18	18	18	7	6676953							
ENSG00000115808	STRN	-5.32899392	-0.037868955	9.88E-08	0.055972611	0.097885313	1.11E-16	6.33E-16	12	12	12	2	37070783							
ENSG00000145901	TNIP1	-5.285648727	-0.049424503	1.25E-07	0.033192068	0.065429158	1.81E-11	7.81E-11	9	9	9	5	150409506							
ENSG00000213995	NAXD	5.284047579	0.024118326	1.26E-07	0.164314986	0.237543495	2.88E-41	4.40E-40	21	21	21	13	111267807							
ENSG00000163050	COQ8A	5.279279635	0.016615364	1.30E-07	0.314825818	0.387783787	3.31E-73	1.35E-71	28	30	30	1	227085237							
ENSG00000149084	HSD17B12	-5.270756747	-0.013976726	1.36E-07	0.421923811	0.535535841	2.43E-113	3.19E-111	25	26	26	11	43702108							
ENSG00000134548	SPX	5.242120936	0.058010451	1.59E-07	0.025852594	0.036751062	5.75E-07	1.84E-06	19	19	19	12	21679241							
ENSG00000204217	BMPR2	5.235513911	0.030790386	1.65E-07	0.080306873	0.127923392	1.19E-21	8.59E-21	17	17	17	2	203241659							
ENSG00000158710	TAGLN2	-5.213123991	-0.077494949	1.86E-07	0.01345413	0.031505679	3.79E-06	1.14E-05	10	12	12	1	159887897							
ENSG00000055211	GINM1	5.208465812	0.03192579	1.90E-07	0.080801528	0.203856234	5.80E-35	7.06E-34	18	22	22	6	149887430							
ENSG00000119408	NEK6	5.194337101	0.031862078	2.05E-07	0.076434662	0.106000512	5.22E-18	3.20E-17	21	21	21	9	127019885							
ENSG00000283375	AC087521.4	-5.179568097	-0.023240069	2.22E-07	0.146293634	0.215167394	4.74E-37	6.24E-36	17	17	17	11	43877463							
ENSG00000111328	CDK2AP1	5.169402141	0.020993678	2.35E-07	0.2033578	0.274461274	1.69E-48	3.24E-47	20	20	20	12	123745518							
ENSG00000271828	AC008937.3	5.140956732	0.036174446	2.73E-07	0.063721279	0.187656376	5.05E-32	5.50E-31	21	22	22	5	56223701							
